TEMPERATURE	RESISTIVITY	SECOND_DERIV_RES
153.0646	2.852833478	0.026201701
152.7052	2.842155378	0.026819963
152.3508	2.833561936	0.027528016
151.9951	2.82342727	0.028206495
151.624	2.813138568	0.028800552
151.2695	2.802480778	0.029511387
150.9083	2.791916076	0.030132354
150.5536	2.780527931	0.030690483
150.1904	2.769812507	0.031470253
149.8335	2.758157259	0.032130843
149.4667	2.74672701	0.03271408
149.115	2.734858578	0.033164963
148.7486	2.722797886	0.033470162
148.3957	2.710725092	0.033924833
148.041	2.698207231	0.034480659
147.6733	2.68585716	0.035006448
147.321	2.673125648	0.035488855
146.9493	2.660156383	0.035910682
146.5907	2.64797748	0.036353162
146.236	2.634443846	0.036900194
145.8775	2.620709886	0.037341598
145.5156	2.607195623	0.037972333
145.163	2.593630577	0.038567404
144.793	2.579578112	0.039070981
144.4431	2.565924208	0.039684709
144.0779	2.551188829	0.039928177
143.7194	2.536902304	0.040052964
143.3522	2.522218251	0.040401813
143.0045	2.507417554	0.040688311
142.6364	2.492996769	0.040905589
142.2842	2.478140407	0.041104238
141.923	2.463444808	0.041199937
141.5607	2.449150016	0.041348621
141.2111	2.434393578	0.041531834
140.8418	2.418790015	0.041711695
140.4876	2.404032547	0.041994244
140.1268	2.388734366	0.042265401
139.7684	2.37360885	0.042449706
139.4002	2.358150052	0.042600177
139.0484	2.34294259	0.042661581
138.6834	2.327386167	0.042668115
138.3291	2.312001451	0.042832907
137.9661	2.296830332	0.042839771
137.6056	2.281041915	0.042731449
137.2439	2.2661914	0.042805107
136.8905	2.250589694	0.042896516
136.5347	2.235255447	0.042879968
136.1707	2.2198593	0.042790558
135.8095	2.204132199	0.042878435
135.4488	2.189504495	0.042985172
135.0965	2.173558938	0.043045813
134.7265	2.157533999	0.042999623
134.3771	2.142656774	0.042985817
134.0125	2.127641235	0.043161969
133.6519	2.111612879	0.043122776
133.2974	2.096006029	0.043010342
132.9353	2.08067261	0.042881493
132.5697	2.06512391	0.042694376
132.2108	2.049743433	0.042650258
131.8573	2.034381293	0.042599003
131.4925	2.019070963	0.042371039
131.1381	2.004583686	0.042197676
130.7783	1.989008689	0.042147308
130.4218	1.973922858	0.042074496
130.0525	1.95890504	0.04200737
129.6987	1.943472736	0.041884565
129.3339	1.928369466	0.041773896
128.9789	1.913546922	0.041673332
128.6152	1.898486855	0.04144474
128.2607	1.883922494	0.041372209
127.908	1.869016206	0.041323025
127.5397	1.854073143	0.040976119
127.1824	1.839750324	0.040766515
126.8204	1.824881088	0.040589125
126.4671	1.810394798	0.040381363
126.0989	1.79536905	0.040122253
125.7475	1.781072744	0.039850592
125.3789	1.767260058	0.039648936
125.0217	1.752909758	0.039548618
124.6636	1.738582453	0.039528761
124.3064	1.724880868	0.039285057
123.9508	1.710541585	0.039041926
123.5821	1.696837897	0.038926173
123.2313	1.682389615	0.038723552
122.8618	1.668697088	0.038262455
122.5085	1.654027178	0.037948854
122.1454	1.641107647	0.037721541
121.7838	1.628019534	0.037480269
121.4216	1.614236347	0.0372276
121.0666	1.601147848	0.036793618
120.7001	1.588224628	0.036580877
120.3512	1.574846728	0.036436236
119.9942	1.561351114	0.036418129
119.6247	1.54863295	0.03632482
119.2749	1.535333265	0.036017134
118.9037	1.523238718	0.035798781
118.5478	1.509795304	0.035566375
118.189	1.497119825	0.035134708
117.8322	1.484561351	0.034751956
117.4721	1.472123985	0.034556235
117.1128	1.459959925	0.034252111
116.7575	1.447277063	0.034000773
116.3885	1.435445945	0.033704719
116.0404	1.423516994	0.03342279
115.6677	1.411569637	0.033285666
115.3136	1.399369608	0.033048205
114.9483	1.387755951	0.03271807
114.5981	1.375682038	0.03254706
114.228	1.364120822	0.032418253
113.8781	1.35222124	0.032264349
113.5081	1.341054265	0.032065043
113.1509	1.329466088	0.031624743
112.7876	1.3185566	0.031287208
112.4337	1.307000106	0.030979919
112.0819	1.295649929	0.030659982
111.7111	1.28501691	0.030418032
111.3583	1.273607268	0.030097406
110.992	1.263660327	0.029813725
110.6425	1.25318086	0.029712836
110.272	1.241818074	0.029208726
109.9173	1.231803951	0.028770034
109.5515	1.220990784	0.028921347
109.1978	1.210851027	0.028768928
108.8439	1.201024523	0.028512004
108.4813	1.189997119	0.028274812
108.1136	1.179990739	0.028008055
107.7573	1.171432266	0.027941168
107.4066	1.159505589	0.027836736
107.0343	1.150119933	0.027174442
106.6819	1.140925076	0.026663438
106.3178	1.131199416	0.026546401
105.9651	1.121124251	0.02631256
105.6016	1.111775246	0.026112954
105.238	1.102473018	0.025624352
104.8755	1.094002999	0.025524217
104.5184	1.086059479	0.025590089
104.1635	1.074404829	0.025318303
103.8023	1.066081368	0.025180024
103.4456	1.057564045	0.025093744
103.0867	1.048098709	0.025008004
102.727	1.039352012	0.024934324
102.3746	1.030437626	0.024601293
102.0046	1.021950949	0.023898247
101.6531	1.012921848	0.023673284
